varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
41210#W304	Categorical multiple	343631/31(343662)	-0.011782598462546	-0.3482491928623	0.351844656140092	0.947291880294328	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: W30.4 Application of external ring fixation to bone NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20004#1612	Categorical multiple	343451/168(343619)	0.00510512152482421	-0.143920948099923	0.159104687557917	0.947326266590522	LOGISTIC-BINARY	Operation code: barium enema		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
41200#V254	Categorical multiple	342786/876(343662)	0.00223268232681709	-0.0635938390903721	0.0690182367984122	0.94737644354319	LOGISTIC-BINARY	Operative procedures - main OPCS4: V25.4 Primary posterior laminectomy decompression of lumbar spine		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#L948	Categorical multiple	343463/199(343662)	0.00465473348937089	-0.132436650404822	0.14599099235173	0.947732197764474	LOGISTIC-BINARY	Operative procedures - main OPCS4: L94.8 Other specified therapeutic transluminal operations on vein		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
23246	Integer	3734	0.000705495730367035	-0.0204415448226788	0.0218525362834129	0.947852268772899	LINEAR	Android lean mass		100000	UK Biobank Assessment Centre	100003	Imaging	103	DXA assessment	124	UK Biobank Assessment Centre > Imaging > DXA assessment > Body composition by DXA
25264	Continuous	28849	0.000379402615756703	-0.0109967220927614	0.0117555273242748	0.947880604162881	LINEAR	Mean L2 in anterior limb of internal capsule on FA skeleton (right)		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	134	UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton
2966	Integer	83173	-0.000182064516181908	-0.0056490239380244	0.00528489490566059	0.947956760433211	LINEAR	Age high blood pressure diagnosed		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100044	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
41210#D141	Categorical multiple	343544/118(343662)	0.00603545947373481	-0.171743481312046	0.190948974299762	0.94796325666239	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: D14.1 Tympanoplasty using graft		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#J025	Categorical multiple	343630/32(343662)	-0.0114913089965223	-0.344882297767861	0.347775620968318	0.948045798726684	LOGISTIC-BINARY	Operative procedures - OPCS4: J02.5 Marsupialisation of lesion of liver		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
22601#81392843	Categorical single	85851/14(85865)	-0.0173521864857691	-0.512179693371435	0.537307694008948	0.948084201130107	LOGISTIC-BINARY	Job coding		100089	Online follow-up	123	Work environment	130	Employment history	130	Online follow-up > Work environment > Employment history
41272#O178	Categorical multiple	343648/14(343662)	-0.0173670426254163	-0.51397290944921	0.53761905327087	0.948154105780043	LOGISTIC-BINARY	Operative procedures - OPCS4: O17.8 Other specified secondary closed reduction of fracture of bone and internal fixation		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#D173	Categorical multiple	343645/17(343662)	-0.0156848472393859	-0.465933071536374	0.483159503175693	0.948159818039488	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: D17.3 Division of adhesions of ossicle of ear		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
2395	Categorical single	50336/157932	-999	-999	-999	0.948159823480668	MULTINOMIAL-LOGISTIC	Hair/balding pattern		100000	UK Biobank Assessment Centre	100025	Touchscreen	100068	Sex-specific factors	100070	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors
40013#181	Categorical single	343652/10(343662)	0.0208080853836879	-0.568380130387541	0.695461881098237	0.948221153217659	LOGISTIC-BINARY	Type of cancer: ICD9		100091	Health-related outcomes	100092	Cancer register	100092	Cancer register	100092	Health-related outcomes > Cancer register
41200#G342	Categorical multiple	343365/297(343662)	-0.00376282671080497	-0.115965883493506	0.111261973107423	0.948232351922915	LOGISTIC-BINARY	Operative procedures - main OPCS4: G34.2 Creation of temporary gastrostomy		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#R232	Categorical multiple	343623/39(343662)	0.0104497291942202	-0.295715130532758	0.337599724864733	0.9483470766655	LOGISTIC-BINARY	Operative procedures - OPCS4: R23.2 Non-manipulative cephalic vaginal delivery with abnormal presentation of head at delivery without instrument		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#E342	Categorical multiple	343311/351(343662)	0.00346760860254142	-0.100276238792389	0.109607270187992	0.948353163879298	LOGISTIC-BINARY	Operative procedures - OPCS4: E34.2 Microtherapeutic endoscopic resection of lesion of larynx NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20003#1140888676	Categorical multiple	343576/43(343619)	0.00991633706047154	-0.28126049681386	0.320807367338411	0.948447651188649	LOGISTIC-BINARY	Treatment/medication code: naftidrofuryl		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
