varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
27421	Continuous	13228	0.00423408715588698	-0.0123522734552424	0.0208204477670164	0.616818607769456	LINEAR	Mean thickness of G-occipital-middle (left hemisphere)		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	197	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer a2009s
27125	Continuous	13228	0.00429326068609358	-0.0125306979011424	0.0211172192733296	0.616939949169865	LINEAR	Mean thickness of V2 (right hemisphere)		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	195	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer BA exvivo
41210#V058	Categorical multiple	135877/13(135890)	-0.1334398892593	-0.629985573814507	0.420803475122832	0.616941967171041	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: V05.8 Other specified other operations on cranium		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20090#387	Categorical multiple	19203/10(19213)	-0.149839278536032	-0.704746697907078	0.477428273668439	0.616974887258701	LOGISTIC-BINARY	Type of fat/oil used in cooking: Cholesterol lowering soya margarine		100089	Online follow-up	100090	Diet by 24-hour recall	100110	Spreads/sauces/cooking oils yesterday	100110	Online follow-up > Diet by 24-hour recall > Spreads/sauces/cooking oils yesterday
40006#C448	Categorical single	135850/40(135890)	-0.0775706068016391	-0.37239840141003	0.236661599054937	0.617026621519611	LOGISTIC-BINARY	Type of cancer: ICD10		100091	Health-related outcomes	100092	Cancer register	100092	Cancer register	100092	Health-related outcomes > Cancer register
20003#1141195232	Categorical multiple	135783/85(135868)	0.0551097135070536	-0.15596701208816	0.276448009091112	0.617090019810012	LOGISTIC-BINARY	Treatment/medication code: budesonide+formoterol		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
41272#F562	Categorical multiple	135879/11(135890)	0.158940556153557	-0.425370086902423	0.82787871505124	0.617193876014711	LOGISTIC-BINARY	Operative procedures - OPCS4: F56.2 Manipulative removal of calculus from submandibular duct		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
5182	Categorical single	29095/29130	-999	-999	-999	0.617247496615457	MULTINOMIAL-LOGISTIC	Both eyes present		100000	UK Biobank Assessment Centre	100006	Physical measures	100013	Eye measures	100099	UK Biobank Assessment Centre > Physical measures > Eye measures > Eye surgery/complications
41210#V258	Categorical multiple	135876/14(135890)	-0.127608697871339	-0.604083429818996	0.401819411166993	0.617344060304629	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: V25.8 Other specified primary decompression operations on lumbar spine		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
22601#41342674	Categorical single	35205/11(35216)	-0.143893949818666	-0.679813104056762	0.456509526995438	0.617377528277331	LOGISTIC-BINARY	Job coding		100089	Online follow-up	123	Work environment	130	Employment history	130	Online follow-up > Work environment > Employment history
25595	Continuous	12441	0.00421919097554328	-0.0123383573708851	0.0207767393219717	0.617445708293603	LINEAR	Weighted-mean L1 in tract uncinate fasciculus (right)		100000	UK Biobank Assessment Centre	100003	Imaging	100	Brain MRI	135	UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means
41200#J741	Categorical multiple	135695/195(135890)	0.0362023422328186	-0.10371015009456	0.1805078600962	0.617453329016601	LOGISTIC-BINARY	Operative procedures - main OPCS4: J74.1 Endoscopic ultrasound examination of pancreas and biopsy of lesion of pancreas		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#M459	Categorical multiple	133716/2174(135890)	-0.0107764405665691	-0.0528826059156475	0.0317041076639562	0.617482615719555	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: M45.9 Unspecified diagnostic endoscopic examination of bladder		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#H041	Categorical multiple	135841/49(135890)	-0.0697077630695003	-0.335695568334617	0.212311899456549	0.617578942280774	LOGISTIC-BINARY	Operative procedures - OPCS4: H04.1 Panproctocolectomy and ileostomy		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#G742	Categorical multiple	135743/147(135890)	0.0418034127556972	-0.119423153742564	0.208919294017418	0.617580848824385	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: G74.2 Creation of temporary ileostomy		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#W093	Categorical multiple	135853/37(135890)	0.0845664752807005	-0.23597420964202	0.429123830021183	0.617618773343415	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: W09.3 Curettage of lesion of bone NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20003#1141166200	Categorical multiple	135816/52(135868)	-0.0682485486329382	-0.3291224643418	0.207503204104375	0.617620567307525	LOGISTIC-BINARY	Treatment/medication code: implanon 68mg subdermal implant		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
